longitude,latitude,Y.Lat,X.Long,ID
-97829344,30162392,30.162392,-97.829344,800236
-97829344,30183485,30.183485,-97.829344,800237
-97829343,30164785,30.164785,-97.829343,800238
-97829331,30229118,30.229118,-97.829331,800239
-97829331,30229118,30.229118,-97.829331,800240
-97829304,30175718,30.175718,-97.829304,800241
-97829184,30178544,30.178544,-97.829184,800242
-97828638,30251049,30.251049,-97.828638,800243
-97828165,30156213,30.156213,-97.828165,800244
-97827717,30153306,30.153306,-97.827717,800245
-97826263,30431702,30.431702,-97.826263,800246
-97826060,30193334,30.193334,-97.82606,800247
-97826013,30201397,30.201397,-97.826013,800248
-97825929,30195130,30.19513,-97.825929,800249
-97825772,30213253,30.213253,-97.825772,800250
-97825767,30247970,30.24797,-97.825767,800251
-97825715,30437110,30.43711,-97.825715,800252
-97825632,30440779,30.440779,-97.825632,800253
-97825629,30249661,30.249661,-97.825629,800254
-97825477,30159387,30.159387,-97.825477,800255
-97825330,30192318,30.192318,-97.82533,800256
-97824930,30434379,30.434379,-97.82493,800257
-97824791,30249381,30.249381,-97.824791,800258
-97824791,30249381,30.249381,-97.824791,800259
-97824330,30163157,30.163157,-97.82433,800260
